LKnee_X,LKnee_Y
2610.74,1313.99
3009.0,1322.7
856.467,1322.71
3365.27,1322.56
2593.45,1313.97
830.969,1347.93
653.285,1364.82
2813.86,1305.49
2873.19,1313.95
2534.75,1322.25
3424.73,1330.96
585.542,1356.42
839.691,1322.92
2932.86,1322.29
2661.55,1313.86
848.077,1322.88
2398.85,1322.52
712.189,1364.87
873.268,1322.87
3077.09,1331.15
2746.49,1305.34
797.311,1339.72
2457.91,1322.59
3297.35,1322.79
780.072,1364.86
509.195,1373.16
3229.2,1331.14
2483.57,1322.8
864.832,1323.0
2687.15,1305.58
3153.19,1339.47
2348.26,1322.84
746.302,1364.86
1644.39,1322.9
975.331,1331.02
2271.9,1322.75
2220.92,1322.97
1865.21,1356.52
1195.48,1339.64
1017.49,1330.96
1322.88,1305.73
1941.54,1331.2
2314.01,1322.87
1297.26,1314.17
1051.63,1331.19
2288.66,1331.35
2025.93,1331.28
1788.93,1356.33
1254.63,1322.39
949.714,1331.32
1686.93,1330.85
2204.37,1331.34
2272.16,1322.56
2153.18,1356.33
2271.82,1322.3
915.87,1339.59
1568.31,1314.02
915.504,1364.94
2246.42,1322.8
2322.4,1331.12
2135.84,1364.72
1381.77,1305.43
1161.65,1331.17
2085.18,1339.73
2339.15,1322.7
1110.78,1339.42
1432.8,1297.09
907.081,1348.09
2263.07,1322.33
2271.31,1322.23
2195.34,1347.98
1500.43,1313.72
924.174,1347.89
